"Year","Team","Current Conference","Actual Conference","Team State","Team City","Coach","Ranking","Seed","RPI","Score","Opponent Score","Score Bucket","Opponent Score Bucket","Opponent","Overtimes","Round","Region","Season Wins","Season Losses","Automatic/At-Large","Opponent Current Conference","Opponent Actual Conference","Opponent State","Opponent City","Opponent Ranking","Opponent Seed","Opponent RPI","Opponent Region","Location City","Location State","Day of Week","Date","Decade","Wins","Losses"
"1968","Kentucky","Southeastern","Southeastern","Kentucky","Lexington","Rupp, Adolph","5","0","0","107","89","100 or more"," 80 - 89","Marquette","0","Sweet Sixteen","Mideast","21","4","Automatic","Big East","Independent","Wisconsin","Milwaukee","0","0","0","Mideast","Lexington","Kentucky","Friday","March 15","1960-1969","1","0"
"1968","Louisville","Atlantic Coast","Missouri Valley","Kentucky","Louisville","Dromo, John","9","0","0","93","63"," 90 - 99"," 60 - 69","Kansas State","0","Regional Third Place","Midwest","20","6","Automatic","Big Twelve","Big Eight","Kansas","Manhattan","0","0","0","Midwest","Wichita","Kansas","Saturday","March 16","1960-1969","1","0"
"1968","Marquette","Big East","Independent","Wisconsin","Milwaukee","McGuire, Al","0","0","0","72","71"," 70 - 79"," 70 - 79","Bowling Green","0","Round of 32","Mideast","21","5","At Large","Mid American","Mid American","Ohio","Bowling Green","0","0","0","Mideast","Kent","Ohio","Saturday","March 9","1960-1969","1","0"
"1968","Marquette","Big East","Independent","Wisconsin","Milwaukee","McGuire, Al","0","0","0","69","57"," 60 - 69"," 50 - 59","East Tennessee State","0","Regional Third Place","Mideast","21","5","At Large","Southern","Ohio Valley","Tennessee","Johnson City","0","0","0","Mideast","Lexington","Kentucky","Saturday","March 16","1960-1969","1","0"
"1968","New Mexico State","Western Athletic","Independent","New Mexico","Las Cruces","Henson, Lou","0","0","0","62","58"," 60 - 69"," 50 - 59","New Mexico","0","Regional Third Place","West","21","5","At Large","Mountain West","Western Athletic","New Mexico","Albuquerque","6","0","0","West","Albuquerque","New Mexico","Saturday","March 16","1960-1969","1","0"
"1968","New Mexico State","Western Athletic","Independent","New Mexico","Las Cruces","Henson, Lou","0","0","0","68","57"," 60 - 69"," 50 - 59","Weber State","0","Round of 32","West","21","5","At Large","Big Sky","Big Sky","Utah","Ogden","0","0","0","West","Salt Lake City","Utah","Saturday","March 9","1960-1969","1","0"
"1968","North Carolina","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","Smith, Dean","4","0","0","70","66"," 70 - 79"," 60 - 69","Davidson","0","Elite Eight","East","25","3","Automatic","Atlantic Ten","Southern","North Carolina","Davidson","8","0","0","East","Raleigh","North Carolina","Saturday","March 16","1960-1969","1","0"
"1968","North Carolina","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","Smith, Dean","4","0","0","80","66"," 80 - 89"," 60 - 69","Ohio State","0","National Semifinals","East","25","3","Automatic","Big Ten","Big Ten","Ohio","Columbus","0","0","0","Mideast","Los Angeles","California","Friday","March 22","1960-1969","1","0"
"1968","North Carolina","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","Smith, Dean","4","0","0","91","72"," 90 - 99"," 70 - 79","St. Bonaventure","0","Sweet Sixteen","East","25","3","Automatic","Atlantic Ten","Independent","New York","Olean","3","0","0","East","Raleigh","North Carolina","Friday","March 15","1960-1969","1","0"
"1968","Ohio State","Big Ten","Big Ten","Ohio","Columbus","Taylor, Fred","0","0","0","79","72"," 70 - 79"," 70 - 79","East Tennessee State","0","Sweet Sixteen","Mideast","18","7","Automatic","Southern","Ohio Valley","Tennessee","Johnson City","0","0","0","Mideast","Lexington","Kentucky","Friday","March 15","1960-1969","1","0"
"1968","Ohio State","Big Ten","Big Ten","Ohio","Columbus","Taylor, Fred","0","0","0","89","85"," 80 - 89"," 80 - 89","Houston","0","National Third Place","Mideast","18","7","Automatic","American Athletic","Independent","Texas","Houston","1","0","0","Midwest","Los Angeles","California","Saturday","March 23","1960-1969","1","0"
"1968","Ohio State","Big Ten","Big Ten","Ohio","Columbus","Taylor, Fred","0","0","0","82","81"," 80 - 89"," 80 - 89","Kentucky","0","Elite Eight","Mideast","18","7","Automatic","Southeastern","Southeastern","Kentucky","Lexington","5","0","0","Mideast","Lexington","Kentucky","Saturday","March 16","1960-1969","1","0"
"1968","Santa Clara","West Coast","West Coast","California","Santa Clara","Garibaldi, Dick","0","0","0","86","73"," 80 - 89"," 70 - 79","New Mexico","0","Sweet Sixteen","West","21","3","Automatic","Mountain West","Western Athletic","New Mexico","Albuquerque","6","0","0","West","Albuquerque","New Mexico","Friday","March 15","1960-1969","1","0"
"1968","St. Bonaventure","Atlantic Ten","Independent","New York","Olean","Weise, Larry","3","0","0","102","93","100 or more"," 90 - 99","Boston College","0","Round of 32","East","22","0","At Large","Atlantic Coast","Independent","Massachusetts","Chestnut Hill","0","0","0","East","Kingston","Rhode Island","Saturday","March 9","1960-1969","1","0"
"1968","Texas Christian","Big Twelve","Southwest","Texas","Fort Worth","Swaim, Johnny","0","0","0","77","72"," 70 - 79"," 70 - 79","Kansas State","0","Sweet Sixteen","Midwest","14","10","Automatic","Big Twelve","Big Eight","Kansas","Manhattan","0","0","0","Midwest","Wichita","Kansas","Friday","March 15","1960-1969","1","0"
"1968","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","2","0","0","101","69","100 or more"," 60 - 69","Houston","0","National Semifinals","West","25","1","Automatic","American Athletic","Independent","Texas","Houston","1","0","0","Midwest","Los Angeles","California","Friday","March 22","1960-1969","1","0"
"1968","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","2","0","0","58","49"," 50 - 59","  0 - 49","New Mexico State","0","Sweet Sixteen","West","25","1","Automatic","Western Athletic","Independent","New Mexico","Las Cruces","0","0","0","West","Albuquerque","New Mexico","Friday","March 15","1960-1969","1","0"
"1968","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","2","0","0","78","55"," 70 - 79"," 50 - 59","North Carolina","0","National Championship","West","25","1","Automatic","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","4","0","0","East","Los Angeles","California","Saturday","March 23","1960-1969","1","0"
"1968","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","2","0","0","87","66"," 80 - 89"," 60 - 69","Santa Clara","0","Elite Eight","West","25","1","Automatic","West Coast","West Coast","California","Santa Clara","0","0","0","West","Albuquerque","New Mexico","Saturday","March 16","1960-1969","1","0"
"1969","Colorado","Pacific Twelve","Big Eight","Colorado","Boulder","Walseth, Sox","18","0","0","97","82"," 90 - 99"," 80 - 89","Texas A&M","0","Regional Third Place","Midwest","20","6","Automatic","Southeastern","Southwest","Texas","College Station","0","0","0","Midwest","Manhattan","Kansas","Saturday","March 15","1960-1969","1","0"
"1969","Colorado State","Mountain West","Independent","Colorado","Fort Collins","Williams, Jim","0","0","0","64","56"," 60 - 69"," 50 - 59","Colorado","0","Sweet Sixteen","Midwest","15","6","At Large","Pacific Twelve","Big Eight","Colorado","Boulder","18","0","0","Midwest","Manhattan","Kansas","Thursday","March 13","1960-1969","1","0"
"1969","Colorado State","Mountain West","Independent","Colorado","Fort Collins","Williams, Jim","0","0","0","52","50"," 50 - 59"," 50 - 59","Dayton","0","Round of 32","Midwest","15","6","At Large","Atlantic Ten","Independent","Ohio","Dayton","0","0","0","Midwest","Fort Worth","Texas","Saturday","March 8","1960-1969","1","0"
"1969","Davidson","Atlantic Ten","Southern","North Carolina","Davidson","Driesell, Lefty","5","0","0","79","69"," 70 - 79"," 60 - 69","St. John's, New York","0","Sweet Sixteen","East","25","2","Automatic","Big East","Independent","New York","Jamaica","8","0","0","East","College Park","Maryland","Thursday","March 13","1960-1969","1","0"
"1969","Davidson","Atlantic Ten","Southern","North Carolina","Davidson","Driesell, Lefty","5","0","0","75","61"," 70 - 79"," 60 - 69","Villanova","0","Round of 32","East","25","2","Automatic","Big East","Independent","Pennsylvania","Philadelphia","10","0","0","East","Raleigh","North Carolina","Saturday","March 8","1960-1969","1","0"
"1969","Drake","Missouri Valley","Missouri Valley","Iowa","Des Moines","John, Maurice","11","0","0","84","77"," 80 - 89"," 70 - 79","Colorado State","0","Elite Eight","Midwest","23","4","Automatic","Mountain West","Independent","Colorado","Fort Collins","0","0","0","Midwest","Manhattan","Kansas","Saturday","March 15","1960-1969","1","0"
"1969","Drake","Missouri Valley","Missouri Valley","Iowa","Des Moines","John, Maurice","11","0","0","104","84","100 or more"," 80 - 89","North Carolina","0","National Third Place","Midwest","23","4","Automatic","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","4","0","0","East","Louisville","Kentucky","Saturday","March 22","1960-1969","1","0"
"1969","Drake","Missouri Valley","Missouri Valley","Iowa","Des Moines","John, Maurice","11","0","0","81","63"," 80 - 89"," 60 - 69","Texas A&M","0","Sweet Sixteen","Midwest","23","4","Automatic","Southeastern","Southwest","Texas","College Station","0","0","0","Midwest","Manhattan","Kansas","Thursday","March 13","1960-1969","1","0"
"1969","Duquesne","Atlantic Ten","Independent","Pennsylvania","Pittsburgh","Manning, John","9","0","0","75","72"," 70 - 79"," 70 - 79","St. John's, New York","0","Regional Third Place","East","19","4","At Large","Big East","Independent","New York","Jamaica","8","0","0","East","College Park","Maryland","Saturday","March 15","1960-1969","1","0"
"1969","Duquesne","Atlantic Ten","Independent","Pennsylvania","Pittsburgh","Manning, John","9","0","0","74","52"," 70 - 79"," 50 - 59","St. Joseph's, Pennsylvania","0","Round of 32","East","19","4","At Large","Atlantic Ten","East Coast","Pennsylvania","Philadelphia","0","0","0","East","Kingston","Rhode Island","Saturday","March 8","1960-1969","1","0"
"1969","Kentucky","Southeastern","Southeastern","Kentucky","Lexington","Rupp, Adolph","7","0","0","72","71"," 70 - 79"," 70 - 79","Miami, Ohio","0","Regional Third Place","Mideast","22","4","Automatic","Mid American","Mid American","Ohio","Oxford","0","0","0","Mideast","Madison","Wisconsin","Saturday","March 15","1960-1969","1","0"
"1969","Marquette","Big East","Independent","Wisconsin","Milwaukee","McGuire, Al","14","0","0","81","74"," 80 - 89"," 70 - 79","Kentucky","0","Sweet Sixteen","Mideast","22","4","At Large","Southeastern","Southeastern","Kentucky","Lexington","7","0","0","Mideast","Madison","Wisconsin","Thursday","March 13","1960-1969","1","0"
"1969","Marquette","Big East","Independent","Wisconsin","Milwaukee","McGuire, Al","14","0","0","82","62"," 80 - 89"," 60 - 69","Murray State","0","Round of 32","Mideast","22","4","At Large","Ohio Valley","Ohio Valley","Kentucky","Murray","0","0","0","Mideast","Carbondale","Illinois","Saturday","March 8","1960-1969","1","0"
"1969","Miami, Ohio","Mid American","Mid American","Ohio","Oxford","Locke, Tates","0","0","0","63","60"," 60 - 69"," 60 - 69","Notre Dame","0","Round of 32","Mideast","14","10","Automatic","Atlantic Coast","Independent","Indiana","South Bend","17","0","0","Mideast","Carbondale","Illinois","Saturday","March 8","1960-1969","1","0"
"1969","New Mexico State","Western Athletic","Independent","New Mexico","Las Cruces","Henson, Lou","12","0","0","74","62"," 70 - 79"," 60 - 69","Brigham Young","0","Round of 32","West","23","3","At Large","West Coast","Western Athletic","Utah","Provo","0","0","0","West","Las Cruces","New Mexico","Saturday","March 8","1960-1969","1","0"
"1969","North Carolina","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","Smith, Dean","4","0","0","87","85"," 80 - 89"," 80 - 89","Davidson","0","Elite Eight","East","25","3","Automatic","Atlantic Ten","Southern","North Carolina","Davidson","5","0","0","East","College Park","Maryland","Saturday","March 15","1960-1969","1","0"
"1969","North Carolina","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","Smith, Dean","4","0","0","79","78"," 70 - 79"," 70 - 79","Duquesne","0","Sweet Sixteen","East","25","3","Automatic","Atlantic Ten","Independent","Pennsylvania","Pittsburgh","9","0","0","East","College Park","Maryland","Thursday","March 13","1960-1969","1","0"
"1969","Purdue","Big Ten","Big Ten","Indiana","West Lafayette","King, George","6","0","0","75","73"," 70 - 79"," 70 - 79","Marquette","1","Elite Eight","Mideast","20","4","Automatic","Big East","Independent","Wisconsin","Milwaukee","14","0","0","Mideast","Madison","Wisconsin","Saturday","March 15","1960-1969","1","0"
"1969","Purdue","Big Ten","Big Ten","Indiana","West Lafayette","King, George","6","0","0","91","71"," 90 - 99"," 70 - 79","Miami, Ohio","0","Sweet Sixteen","Mideast","20","4","Automatic","Mid American","Mid American","Ohio","Oxford","0","0","0","Mideast","Madison","Wisconsin","Thursday","March 13","1960-1969","1","0"
"1969","Purdue","Big Ten","Big Ten","Indiana","West Lafayette","King, George","6","0","0","92","65"," 90 - 99"," 60 - 69","North Carolina","0","National Semifinals","Mideast","20","4","Automatic","Atlantic Coast","Atlantic Coast","North Carolina","Chapel Hill","4","0","0","East","Louisville","Kentucky","Thursday","March 20","1960-1969","1","0"
"1969","Santa Clara","West Coast","West Coast","California","Santa Clara","Garibaldi, Dick","3","0","0","63","59"," 60 - 69"," 50 - 59","Weber State","0","Sweet Sixteen","West","26","1","Automatic","Big Sky","Big Sky","Utah","Ogden","0","0","0","West","Los Angeles","California","Thursday","March 13","1960-1969","1","0"
"1969","St. John's, New York","Big East","Independent","New York","Jamaica","Carnesecca, Lou","8","0","0","72","63"," 70 - 79"," 60 - 69","Princeton","0","Round of 32","East","22","4","At Large","Ivy League","Ivy League","New Jersey","Princeton","0","0","0","East","Raleigh","North Carolina","Saturday","March 8","1960-1969","1","0"
"1969","Texas A&M","Southeastern","Southwest","Texas","College Station","Metcalf, Shelby","0","0","0","81","66"," 80 - 89"," 60 - 69","Trinity, Texas","0","Round of 32","Midwest","17","7","Automatic","Division III","Southland","Texas","San Antonio","0","0","0","Midwest","Fort Worth","Texas","Saturday","March 8","1960-1969","1","0"
"1969","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","1","0","0","85","82"," 80 - 89"," 80 - 89","Drake","0","National Semifinals","West","25","1","Automatic","Missouri Valley","Missouri Valley","Iowa","Des Moines","11","0","0","Midwest","Louisville","Kentucky","Thursday","March 20","1960-1969","1","0"
"1969","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","1","0","0","53","38"," 50 - 59","  0 - 49","New Mexico State","0","Sweet Sixteen","West","25","1","Automatic","Western Athletic","Independent","New Mexico","Las Cruces","12","0","0","West","Los Angeles","California","Thursday","March 13","1960-1969","1","0"
"1969","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","1","0","0","92","72"," 90 - 99"," 70 - 79","Purdue","0","National Championship","West","25","1","Automatic","Big Ten","Big Ten","Indiana","West Lafayette","6","0","0","Mideast","Louisville","Kentucky","Saturday","March 22","1960-1969","1","0"
"1969","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","1","0","0","90","52"," 90 - 99"," 50 - 59","Santa Clara","0","Elite Eight","West","25","1","Automatic","West Coast","West Coast","California","Santa Clara","3","0","0","West","Los Angeles","California","Saturday","March 15","1960-1969","1","0"
"1969","Weber State","Big Sky","Big Sky","Utah","Ogden","Johnson, Phil","0","0","0","58","56"," 50 - 59"," 50 - 59","New Mexico State","0","Regional Third Place","West","25","2","Automatic","Western Athletic","Independent","New Mexico","Las Cruces","12","0","0","West","Los Angeles","California","Saturday","March 15","1960-1969","1","0"
"1969","Weber State","Big Sky","Big Sky","Utah","Ogden","Johnson, Phil","0","0","0","75","73"," 70 - 79"," 70 - 79","Seattle","0","Round of 32","West","25","2","Automatic","Western Athletic","Independent","Washington","Seattle","0","0","0","West","Las Cruces","New Mexico","Saturday","March 8","1960-1969","1","0"
"1970","Drake","Missouri Valley","Missouri Valley","Iowa","Des Moines","John, Maurice","14","0","0","92","87"," 90 - 99"," 80 - 89","Houston","0","Sweet Sixteen","Midwest","21","6","Automatic","American Athletic","Independent","Texas","Houston","12","0","0","Midwest","Lawrence","Kansas","Thursday","March 12","1970-1979","1","0"
"1970","Houston","American Athletic","Independent","Texas","Houston","Lewis, Guy","12","0","0","71","64"," 70 - 79"," 60 - 69","Dayton","0","Round of 32","Midwest","24","3","At Large","Atlantic Ten","Independent","Ohio","Dayton","0","0","0","Midwest","Fort Worth","Texas","Saturday","March 7","1970-1979","1","0"
"1970","Iowa","Big Ten","Big Ten","Iowa","Iowa City","Miller, Ralph","7","0","0","121","106","100 or more","100 or more","Notre Dame","0","Regional Third Place","Mideast","19","4","Automatic","Atlantic Coast","Independent","Indiana","South Bend","9","0","0","Mideast","Columbus","Ohio","Saturday","March 14","1970-1979","1","0"
"1970","Jacksonville","Atlantic Sun","Independent","Florida","Jacksonville","Williams, Joe","4","0","0","104","103","100 or more","100 or more","Iowa","0","Sweet Sixteen","Mideast","23","1","At Large","Big Ten","Big Ten","Iowa","Iowa City","7","0","0","Mideast","Columbus","Ohio","Thursday","March 12","1970-1979","1","0"
"1970","Jacksonville","Atlantic Sun","Independent","Florida","Jacksonville","Williams, Joe","4","0","0","106","100","100 or more","100 or more","Kentucky","0","Elite Eight","Mideast","23","1","At Large","Southeastern","Southeastern","Kentucky","Lexington","1","0","0","Mideast","Columbus","Ohio","Saturday","March 14","1970-1979","1","0"
"1970","Jacksonville","Atlantic Sun","Independent","Florida","Jacksonville","Williams, Joe","4","0","0","91","83"," 90 - 99"," 80 - 89","St. Bonaventure","0","National Semifinals","Mideast","23","1","At Large","Atlantic Ten","Independent","New York","Olean","3","0","0","East","College Park","Maryland","Thursday","March 19","1970-1979","1","0"
"1970","Jacksonville","Atlantic Sun","Independent","Florida","Jacksonville","Williams, Joe","4","0","0","109","96","100 or more"," 90 - 99","Western Kentucky","0","Round of 32","Mideast","23","1","At Large","Conference USA","Ohio Valley","Kentucky","Bowling Green","18","0","0","Mideast","Dayton","Ohio","Saturday","March 7","1970-1979","1","0"
"1970","Kansas State","Big Twelve","Big Eight","Kansas","Manhattan","Fitzsimmons, Cotton","0","0","0","107","98","100 or more"," 90 - 99","Houston","0","Regional Third Place","Midwest","19","7","Automatic","American Athletic","Independent","Texas","Houston","12","0","0","Midwest","Lawrence","Kansas","Saturday","March 14","1970-1979","1","0"
"1970","Kentucky","Southeastern","Southeastern","Kentucky","Lexington","Rupp, Adolph","1","0","0","109","99","100 or more"," 90 - 99","Notre Dame","0","Sweet Sixteen","Mideast","25","1","Automatic","Atlantic Coast","Independent","Indiana","South Bend","9","0","0","Mideast","Columbus","Ohio","Thursday","March 12","1970-1979","1","0"
"1970","Long Beach State","Big West","Big West","California","Long Beach","Tarkanian, Jerry","19","0","0","92","73"," 90 - 99"," 70 - 79","Weber State","0","Round of 32","West","23","3","At Large","Big Sky","Big Sky","Utah","Ogden","0","0","0","West","Provo","Utah","Saturday","March 7","1970-1979","1","0"
"1970","New Mexico State","Western Athletic","Independent","New Mexico","Las Cruces","Henson, Lou","5","0","0","87","78"," 80 - 89"," 70 - 79","Drake","0","Elite Eight","Midwest","23","2","At Large","Missouri Valley","Missouri Valley","Iowa","Des Moines","14","0","0","Midwest","Lawrence","Kansas","Saturday","March 14","1970-1979","1","0"
"1970","New Mexico State","Western Athletic","Independent","New Mexico","Las Cruces","Henson, Lou","5","0","0","70","66"," 70 - 79"," 60 - 69","Kansas State","0","Sweet Sixteen","Midwest","23","2","At Large","Big Twelve","Big Eight","Kansas","Manhattan","0","0","0","Midwest","Lawrence","Kansas","Thursday","March 12","1970-1979","1","0"
"1970","New Mexico State","Western Athletic","Independent","New Mexico","Las Cruces","Henson, Lou","5","0","0","101","77","100 or more"," 70 - 79","Rice","0","Round of 32","Midwest","23","2","At Large","Conference USA","Southwest","Texas","Houston","0","0","0","Midwest","Fort Worth","Texas","Saturday","March 7","1970-1979","1","0"
"1970","New Mexico State","Western Athletic","Independent","New Mexico","Las Cruces","Henson, Lou","5","0","0","79","73"," 70 - 79"," 70 - 79","St. Bonaventure","0","National Third Place","Midwest","23","2","At Large","Atlantic Ten","Independent","New York","Olean","3","0","0","East","College Park","Maryland","Saturday","March 21","1970-1979","1","0"
"1970","Niagara","Metro Atlantic","Independent","New York","Niagara","Layden, Frank","17","0","0","79","69"," 70 - 79"," 60 - 69","Pennsylvania","0","Round of 32","East","21","5","At Large","Ivy League","Ivy League","Pennsylvania","Philadelphia","13","0","0","East","Princeton","New Jersey","Saturday","March 7","1970-1979","1","0"
"1970","North Carolina State","Atlantic Coast","Atlantic Coast","North Carolina","Raleigh","Sloan, Norm","10","0","0","108","88","100 or more"," 80 - 89","Niagara","0","Regional Third Place","East","22","6","Automatic","Metro Atlantic","Independent","New York","Niagara","17","0","0","East","Columbia","South Carolina","Saturday","March 14","1970-1979","1","0"
"1970","Notre Dame","Atlantic Coast","Independent","Indiana","South Bend","Dee, Johnny","9","0","0","112","82","100 or more"," 80 - 89","Ohio","0","Round of 32","Mideast","20","6","At Large","Mid American","Mid American","Ohio","Athens","0","0","0","Mideast","Dayton","Ohio","Saturday","March 7","1970-1979","1","0"
"1970","Santa Clara","West Coast","West Coast","California","Santa Clara","Garibaldi, Dick","0","0","0","89","86"," 80 - 89"," 80 - 89","Long Beach State","0","Regional Third Place","West","22","5","Automatic","Big West","Big West","California","Long Beach","19","0","0","West","Seattle","Washington","Saturday","March 14","1970-1979","1","0"
"1970","St. Bonaventure","Atlantic Ten","Independent","New York","Olean","Weise, Larry","3","0","0","85","72"," 80 - 89"," 70 - 79","Davidson","0","Round of 32","East","22","1","At Large","Atlantic Ten","Southern","North Carolina","Davidson","15","0","0","East","Jamaica","New York","Saturday","March 7","1970-1979","1","0"
"1970","St. Bonaventure","Atlantic Ten","Independent","New York","Olean","Weise, Larry","3","0","0","80","68"," 80 - 89"," 60 - 69","North Carolina State","0","Sweet Sixteen","East","22","1","At Large","Atlantic Coast","Atlantic Coast","North Carolina","Raleigh","10","0","0","East","Columbia","South Carolina","Friday","March 13","1970-1979","1","0"
"1970","St. Bonaventure","Atlantic Ten","Independent","New York","Olean","Weise, Larry","3","0","0","97","74"," 90 - 99"," 70 - 79","Villanova","0","Elite Eight","East","22","1","At Large","Big East","Independent","Pennsylvania","Philadelphia","0","0","0","East","Columbia","South Carolina","Saturday","March 14","1970-1979","1","0"
"1970","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","2","0","0","80","69"," 80 - 89"," 60 - 69","Jacksonville","0","National Championship","West","24","2","Automatic","Atlantic Sun","Independent","Florida","Jacksonville","4","0","0","Mideast","College Park","Maryland","Saturday","March 21","1970-1979","1","0"
"1970","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","2","0","0","88","65"," 80 - 89"," 60 - 69","Long Beach State","0","Sweet Sixteen","West","24","2","Automatic","Big West","Big West","California","Long Beach","19","0","0","West","Seattle","Washington","Thursday","March 12","1970-1979","1","0"
"1970","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","2","0","0","93","77"," 90 - 99"," 70 - 79","New Mexico State","0","National Semifinals","West","24","2","Automatic","Western Athletic","Independent","New Mexico","Las Cruces","5","0","0","Midwest","College Park","Maryland","Thursday","March 19","1970-1979","1","0"
"1970","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","2","0","0","101","79","100 or more"," 70 - 79","Utah State","0","Elite Eight","West","24","2","Automatic","Mountain West","Independent","Utah","Logan","16","0","0","West","Seattle","Washington","Saturday","March 14","1970-1979","1","0"
"1970","Utah State","Mountain West","Independent","Utah","Logan","Andersen, Ladell","16","0","0","69","68"," 60 - 69"," 60 - 69","Santa Clara","0","Sweet Sixteen","West","20","6","At Large","West Coast","West Coast","California","Santa Clara","0","0","0","West","Seattle","Washington","Thursday","March 12","1970-1979","1","0"
"1970","Utah State","Mountain West","Independent","Utah","Logan","Andersen, Ladell","16","0","0","91","81"," 90 - 99"," 80 - 89","Texas-El Paso","0","Round of 32","West","20","6","At Large","Conference USA","Western Athletic","Texas","El Paso","0","0","0","West","Provo","Utah","Saturday","March 7","1970-1979","1","0"
"1970","Villanova","Big East","Independent","Pennsylvania","Philadelphia","Kraft, Jack","0","0","0","98","73"," 90 - 99"," 70 - 79","Niagara","0","Sweet Sixteen","East","20","6","At Large","Metro Atlantic","Independent","New York","Niagara","17","0","0","East","Columbia","South Carolina","Thursday","March 12","1970-1979","1","0"
"1970","Villanova","Big East","Independent","Pennsylvania","Philadelphia","Kraft, Jack","0","0","0","77","69"," 70 - 79"," 60 - 69","Temple","0","Round of 32","East","20","6","At Large","American Athletic","East Coast","Pennsylvania","Philadelphia","0","0","0","East","Philadelphia","Pennsylvania","Saturday","March 7","1970-1979","1","0"
"1971","Brigham Young","West Coast","Western Athletic","Utah","Provo","Watts, Stan","20","0","0","91","82"," 90 - 99"," 80 - 89","Utah State","0","Round of 32","West","17","9","Automatic","Mountain West","Independent","Utah","Logan","0","0","0","West","Logan","Utah","Saturday","March 13","1970-1979","1","0"
"1971","Drake","Missouri Valley","Missouri Valley","Iowa","Des Moines","John, Maurice","19","0","0","79","72"," 70 - 79"," 70 - 79","Notre Dame","1","Sweet Sixteen","Midwest","20","7","Automatic","Atlantic Coast","Independent","Indiana","South Bend","12","0","0","Midwest","Wichita","Kansas","Thursday","March 18","1970-1979","1","0"
"1971","Fordham","Atlantic Ten","Independent","New York","Bronx","Phelps, Digger","9","0","0","105","74","100 or more"," 70 - 79","Furman","0","Round of 32","East","24","2","At Large","Southern","Southern","South Carolina","Greenville","0","0","0","East","Jamaica","New York","Saturday","March 13","1970-1979","1","0"
"1971","Fordham","Atlantic Ten","Independent","New York","Bronx","Phelps, Digger","9","0","0","100","90","100 or more"," 90 - 99","South Carolina","0","Regional Third Place","East","24","2","At Large","Southeastern","Atlantic Coast","South Carolina","Columbia","6","0","0","East","Raleigh","North Carolina","Saturday","March 20","1970-1979","1","0"
"1971","Houston","American Athletic","Independent","Texas","Houston","Lewis, Guy","14","0","0","72","69"," 70 - 79"," 60 - 69","New Mexico State","0","Round of 32","Midwest","20","6","At Large","Western Athletic","Independent","New Mexico","Las Cruces","0","0","0","Midwest","Houston","Texas","Saturday","March 13","1970-1979","1","0"
"1971","Houston","American Athletic","Independent","Texas","Houston","Lewis, Guy","14","0","0","119","106","100 or more","100 or more","Notre Dame","0","Regional Third Place","Midwest","20","6","At Large","Atlantic Coast","Independent","Indiana","South Bend","12","0","0","Midwest","Wichita","Kansas","Saturday","March 20","1970-1979","1","0"
"1971","Kansas","Big Twelve","Big Eight","Kansas","Lawrence","Owens, Ted","4","0","0","73","71"," 70 - 79"," 70 - 79","Drake","0","Elite Eight","Midwest","25","1","Automatic","Missouri Valley","Missouri Valley","Iowa","Des Moines","19","0","0","Midwest","Wichita","Kansas","Saturday","March 20","1970-1979","1","0"
"1971","Kansas","Big Twelve","Big Eight","Kansas","Lawrence","Owens, Ted","4","0","0","78","77"," 70 - 79"," 70 - 79","Houston","0","Sweet Sixteen","Midwest","25","1","Automatic","American Athletic","Independent","Texas","Houston","14","0","0","Midwest","Wichita","Kansas","Thursday","March 18","1970-1979","1","0"
"1971","Long Beach State","Big West","Big West","California","Long Beach","Tarkanian, Jerry","16","0","0","78","65"," 70 - 79"," 60 - 69","Pacific, California","0","Sweet Sixteen","West","22","4","At Large","West Coast","West Coast","California","Stockton","0","0","0","West","Salt Lake City","Utah","Thursday","March 18","1970-1979","1","0"
"1971","Long Beach State","Big West","Big West","California","Long Beach","Tarkanian, Jerry","16","0","0","77","66"," 70 - 79"," 60 - 69","Weber State","0","Round of 32","West","22","4","At Large","Big Sky","Big Sky","Utah","Ogden","0","0","0","West","Logan","Utah","Saturday","March 13","1970-1979","1","0"
